Year,Dept_Name,Actual_Cost,Budget_Cost,Cost_Outrun,Cost_Outrun_Pct,Cost_Catog
2022,IT,7408000,6628000,780000,11.77,"Over Budget"
2022,Marketing,20780000,18950000,1830000,9.66,"Over Budget"
2022,"Human Resources",6118000,5701000,417000,7.31,"Over Budget"
2022,Sales,38730000,37250000,1480000,3.97,"Over Budget"
2022,Operations,33010000,32250000,760000,2.36,"Over Budget"
2023,IT,7327000,6526000,801000,12.27,"Over Budget"
2023,Marketing,21380000,19170000,2210000,11.53,"Over Budget"
2023,"Human Resources",6121000,5697000,424000,7.44,"Over Budget"
2023,Sales,39830000,38790000,1040000,2.68,"Over Budget"
2023,Operations,33280000,32530000,750000,2.31,"Over Budget"
2024,IT,7404000,6601000,803000,12.16,"Over Budget"
2024,Marketing,21680000,19570000,2110000,10.78,"Over Budget"
2024,"Human Resources",6143000,5722000,421000,7.36,"Over Budget"
2024,Operations,33880000,33030000,850000,2.57,"Over Budget"
2024,Sales,40980000,40070000,910000,2.27,"Over Budget"
